Features,Shap Values
OBS_30_CNT_SOCIAL_CIRCLE,0.007947443536017066
BURO_DAYS_CREDIT_VAR,0.0078281186020792
CLOSED_DAYS_CREDIT_ENDDATE_MIN,0.007824483036436757
YEARS_BUILD_AVG,0.007794777214722682
INSTAL_AMT_PAYMENT_MAX,0.007751456667697664
ENTRANCES_MEDI,0.007728972827745274
PREV_CHANNEL_TYPE_APCashloan_MEAN,0.007705060696686624
ACTIVE_DAYS_CREDIT_MIN,0.00766739877254739
PREV_NAME_PAYMENT_TYPE_Cashthroughthebank_MEAN,0.007655310737618225
INSTAL_DAYS_ENTRY_PAYMENT_MEAN,0.007602838858243249
BURO_MONTHS_BALANCE_SIZE_MEAN,0.007579680262235056
PREV_AMT_GOODS_PRICE_MIN,0.00756657743625065
ACTIVE_DAYS_CREDIT_VAR,0.007431274590443297
CLOSED_AMT_CREDIT_SUM_MAX,0.007408743668043519
PREV_DAYS_DECISION_MEAN,0.007394892898462923
OCCUPATION_TYPE_Accountants,0.007389314430180429
ACTIVE_AMT_CREDIT_SUM_DEBT_MAX,0.007383828753507852
APPROVED_AMT_CREDIT_MIN,0.007374479429564192
APPROVED_AMT_CREDIT_MAX,0.007364693423991645
PREV_NAME_YIELD_GROUP_XNA_MEAN,0.007290615213759266
PREV_AMT_APPLICATION_MIN,0.007156573805214446
APPROVED_DAYS_DECISION_MEAN,0.00714890384552457
PREV_NAME_PAYMENT_TYPE_XNA_MEAN,0.007108081323115414
CC_AMT_PAYMENT_CURRENT_MEAN,0.007054080718808432
APPROVED_AMT_CREDIT_MEAN,0.007014371306199137
CC_AMT_PAYMENT_TOTAL_CURRENT_MEAN,0.007000982954367754
APPROVED_AMT_GOODS_PRICE_MAX,0.006968367165451655
APPROVED_AMT_APPLICATION_MIN,0.006904554364002387
ACTIVE_MONTHS_BALANCE_MIN_MIN,0.006902246077260706
PREV_NAME_CONTRACT_STATUS_Approved_MEAN,0.006886762387475462
APPROVED_HOUR_APPR_PROCESS_START_MEAN,0.00688110401683345
REFUSED_APP_CREDIT_PERC_VAR,0.0068335955882304145
CLOSED_AMT_ANNUITY_MAX,0.006778988389504863
PREV_PRODUCT_COMBINATION_POShouseholdwithinterest_MEAN,0.0066029344443614465
CLOSED_DAYS_CREDIT_MEAN,0.006592161181535316
PREV_HOUR_APPR_PROCESS_START_MIN,0.006549666409703657
LANDAREA_MODE,0.006544903144400259
BURO_DAYS_CREDIT_UPDATE_MEAN,0.0065279738749744794
POS_SK_DPD_DEF_MEAN,0.006487117589094183
FLOORSMAX_MEDI,0.00634786721950092
BURO_AMT_ANNUITY_MAX,0.0063308283463693405
AMT_REQ_CREDIT_BUREAU_YEAR,0.006312176184297227
CLOSED_DAYS_CREDIT_ENDDATE_MEAN,0.00627257351433066
PREV_AMT_APPLICATION_MEAN,0.006255005728196076
PREV_CNT_PAYMENT_SUM,0.006230334671957321
PREV_NAME_YIELD_GROUP_low_normal_MEAN,0.006221888992297616
ACTIVE_MONTHS_BALANCE_SIZE_SUM,0.0061730751339994
CLOSED_CREDIT_DAY_OVERDUE_MAX,0.006147966801523053
LIVINGAREA_MODE,0.006128863168548409
CC_AMT_CREDIT_LIMIT_ACTUAL_VAR,0.00611767980091371
CLOSED_DAYS_CREDIT_MIN,0.006112452691500957
CLOSED_MONTHS_BALANCE_MIN_MIN,0.00610775363318993
OCCUPATION_TYPE_Medicinestaff,0.00609324188049186
BURO_CREDIT_TYPE_Carloan_MEAN,0.006080032537258099
BURO_CREDIT_DAY_OVERDUE_MAX,0.006053754244147251
PREV_NAME_CLIENT_TYPE_Refreshed_MEAN,0.006023543923211296
APPROVED_AMT_DOWN_PAYMENT_MIN,0.005996087034394274
PREV_RATE_DOWN_PAYMENT_MAX,0.005961942173040075
PREV_CHANNEL_TYPE_Contactcenter_MEAN,0.00595753648009496
PREV_NAME_PORTFOLIO_XNA_MEAN,0.005947618718879299
CC_SK_DPD_DEF_MEAN,0.005909190116832466
APPROVED_APP_CREDIT_PERC_MEAN,0.005847837125380578
BURO_CREDIT_TYPE_Loanforworkingcapitalreplenishment_MEAN,0.005823701422679636
CC_AMT_DRAWINGS_POS_CURRENT_SUM,0.005813284847230875
ORGANIZATION_TYPE_Industrytype9,0.005807685199910705
BURO_AMT_ANNUITY_MEAN,0.005807309017758101
CC_AMT_CREDIT_LIMIT_ACTUAL_MEAN,0.005762799025044766
PREV_WEEKDAY_APPR_PROCESS_START_SATURDAY_MEAN,0.005670943302417419
PREV_AMT_DOWN_PAYMENT_MAX,0.005617584491906926
AMT_REQ_CREDIT_BUREAU_WEEK,0.005565393382831046
APARTMENTS_AVG,0.00554995184238065
PREV_CHANNEL_TYPE_Stone_MEAN,0.005520998492803417
BURO_MONTHS_BALANCE_MIN_MIN,0.005491539424747269
BURO_CREDIT_TYPE_Consumercredit_MEAN,0.005452469349772003
PREV_NAME_PORTFOLIO_Cards_MEAN,0.005451427681550039
CC_SK_DPD_DEF_SUM,0.005365172918230083
PREV_WEEKDAY_APPR_PROCESS_START_SUNDAY_MEAN,0.005345584975544135
INSTAL_DPD_SUM,0.005316007904283124
APPROVED_AMT_GOODS_PRICE_MIN,0.005311160334374941
APPROVED_HOUR_APPR_PROCESS_START_MIN,0.005298394440205194
FONDKAPREMONT_MODE_regoperaccount,0.005191830866117048
CLOSED_MONTHS_BALANCE_SIZE_MEAN,0.005189334977923105
PREV_NAME_TYPE_SUITE_Family_MEAN,0.005188792641323432
PREV_RATE_DOWN_PAYMENT_MEAN,0.005147869115066232
PREV_NAME_GOODS_CATEGORY_ConsumerElectronics_MEAN,0.00501343342871018
ACTIVE_AMT_ANNUITY_MAX,0.005003890932539985
CLOSED_AMT_CREDIT_SUM_DEBT_MAX,0.00495159099771235
PREV_AMT_APPLICATION_MAX,0.00490979004709644
INSTAL_PAYMENT_PERC_VAR,0.004895651885860579
INSTAL_AMT_INSTALMENT_MEAN,0.004813086756914602
PREV_NAME_SELLER_INDUSTRY_Consumerelectronics_MEAN,0.004777980957440646
INSTAL_PAYMENT_PERC_MAX,0.00477648866213383
YEARS_BUILD_MEDI,0.004693806550706049
REFUSED_APP_CREDIT_PERC_MEAN,0.004648725599840537
CC_AMT_RECIVABLE_MAX,0.004643109010174987
ACTIVE_CNT_CREDIT_PROLONG_SUM,0.004637626822200894
CC_AMT_DRAWINGS_ATM_CURRENT_SUM,0.004610967138871792
CC_AMT_RECEIVABLE_PRINCIPAL_MAX,0.004602107981822312
NAME_EDUCATION_TYPE_Lowersecondary,0.004544505764302331
PREV_WEEKDAY_APPR_PROCESS_START_THURSDAY_MEAN,0.004530455532469024
PREV_NAME_PRODUCT_TYPE_XNA_MEAN,0.004522613501162691
CLOSED_AMT_ANNUITY_MEAN,0.004437379002943264
REFUSED_AMT_GOODS_PRICE_MEAN,0.004430318119540842
PREV_PRODUCT_COMBINATION_CashStreethigh_MEAN,0.004406301387527238
REFUSED_AMT_CREDIT_MIN,0.00439846347891202
